2025-09-14 14:05:52,752 [INFO] 19,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 22.21 min
2025-09-14 14:05:59,558 [INFO] 19,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 22.32 min
2025-09-14 14:06:06,420 [INFO] 19,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 22.44 min
2025-09-14 14:06:13,291 [INFO] 19,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 22.55 min
2025-09-14 14:06:20,125 [INFO] 19,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 22.67 min
2025-09-14 14:06:26,947 [INFO] 19,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 22.78 min
2025-09-14 14:06:33,776 [INFO] 19,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 22.90 min
2025-09-14 14:06:40,630 [INFO] 19,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 23.01 min
2025-09-14 14:06:47,463 [INFO] 19,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 23.12 min
2025-09-14 14:06:54,262 [INFO] 20,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 23.24 min
2025-09-14 14:07:01,099 [INFO] 20,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 23.35 min
2025-09-14 14:07:07,953 [INFO] 20,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 23.46 min
2025-09-14 14:07:14,804 [INFO] 20,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 23.58 min
2025-09-14 14:07:21,660 [INFO] 20,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 23.69 min
2025-09-14 14:07:28,485 [INFO] 20,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 23.81 min
2025-09-14 14:07:35,369 [INFO] 20,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 23.92 min
2025-09-14 14:07:42,271 [INFO] 20,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 24.04 min
2025-09-14 14:07:49,163 [INFO] 20,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 24.15 min
2025-09-14 14:07:56,060 [INFO] 20,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 24.27 min
2025-09-14 14:08:02,951 [INFO] 21,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 24.38 min
2025-09-14 14:08:09,822 [INFO] 21,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 24.50 min
2025-09-14 14:08:16,708 [INFO] 21,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 24.61 min
2025-09-14 14:08:23,602 [INFO] 21,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 24.73 min
2025-09-14 14:08:30,486 [INFO] 21,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 24.84 min
2025-09-14 14:08:37,364 [INFO] 21,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 24.96 min
2025-09-14 14:08:44,223 [INFO] 21,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 25.07 min
2025-09-14 14:08:51,069 [INFO] 21,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 25.18 min
2025-09-14 14:08:57,929 [INFO] 21,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 25.30 min
2025-09-14 14:09:04,780 [INFO] 21,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 25.41 min
2025-09-14 14:09:11,591 [INFO] 22,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 25.53 min
2025-09-14 14:09:18,366 [INFO] 22,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 25.64 min
2025-09-14 14:09:25,164 [INFO] 22,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 25.75 min
2025-09-14 14:09:31,982 [INFO] 22,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 25.87 min
2025-09-14 14:09:38,792 [INFO] 22,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 25.98 min
2025-09-14 14:09:45,589 [INFO] 22,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 26.09 min
2025-09-14 14:09:52,416 [INFO] 22,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 26.21 min
2025-09-14 14:09:59,229 [INFO] 22,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 26.32 min
2025-09-14 14:10:06,059 [INFO] 22,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 26.43 min
